下午 03:44:39-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 03:44:40-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []
下午 03:44:47-> Modbus OK_CH4_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 04 BC 8A], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH5_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 05 7D 4A], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH6_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 06 3D 4B], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH7_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 07 FC 8B], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH0_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 80 FF 5D], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH1_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 81 3E 9D], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH2_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 82 7E 9C], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH3_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 83 BF 5C], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH4_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 84 FE 9E], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH5_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 85 3F 5E], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH6_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 86 7F 5F], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH7_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 87 BE 9F], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:47-> Modbus OK_CH0_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 20 00 01 84 3C], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH1_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 21 00 01 D5 FC], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH2_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 22 00 01 25 FC], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH3_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 23 00 01 74 3C], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH4_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 24 00 01 C5 FD], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH5_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 25 00 01 94 3D], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH6_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 26 00 01 64 3D], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CH7_TEMPERATURE_OFFSET, Ret [0], , CmdType [10], Cmd [01 03 01 27 00 01 35 FD], Rec [01 03 02 00 00 B8 44 ]
下午 03:44:48-> Modbus OK_CJC_ENABLE_STATUS, Ret [0], , CmdType [10], Cmd [01 46 2D 00 FD 5D], Rec [01 46 2D 01 3C 9D ]
下午 03:44:48-> Modbus OK_MODULE_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 00 FE FD], Rec [01 46 2B 00 00 7C 80 ]
下午 03:44:48-> Modbus OK_MODULE_ADDRESS, Ret [0], , CmdType [100], Cmd [01 03 01 E4 00 01 C5 C1], Rec [01 03 02 00 01 79 84 ]
下午 03:44:48-> Modbus OK_MODBUS_MISC, Ret [0], , CmdType [10], Cmd [01 46 29 D3 BE], Rec [01 46 29 00 FF 9D ]
下午 03:44:48-> Modbus OK_MODBUS_DATAFORMAT, Ret [0], , CmdType [10], Cmd [01 01 01 0C 00 01 3C 35], Rec [01 01 01 00 51 88 ]
下午 03:44:48-> Modbus OK_RESPONSE_DELAY_TIME, Ret [0], , CmdType [10], Cmd [01 46 35 D2 77], Rec [01 46 35 09 37 5B ]
下午 03:44:48-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6E 3B 8C ]
下午 03:44:48-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 6E 3B 8C ]
下午 03:44:49-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6F FA 4C ]
下午 03:44:49-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 84 BA 03 ]
下午 03:44:49-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 66 3A 4A ]
下午 03:44:49-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5D 7D C9 ]
下午 03:44:49-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6E 3B 8C ]
下午 03:44:49-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 6E 3B 8C ]
下午 03:44:49-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6F FA 4C ]
下午 03:44:49-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 90 BA 0C ]
下午 03:44:49-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 6A 3A 4F ]
下午 03:44:49-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 8C BB C5 ]
下午 03:44:49-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5E 3D C8 ]
下午 03:44:49-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:49-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A1 7B D8 ]
下午 03:44:49-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 6E 3B 8C ]
下午 03:44:49-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 86 3B C2 ]
下午 03:44:49-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6F FA 4C ]
下午 03:44:49-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 90 BA 0C ]
下午 03:44:49-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 6A 3A 4F ]
下午 03:44:50-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 8C BB C5 ]
下午 03:44:50-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5D 7D C9 ]
下午 03:44:50-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:50-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A1 7B D8 ]
下午 03:44:50-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:50-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 8A 3B C7 ]
下午 03:44:50-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:50-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 95 7A 0F ]
下午 03:44:50-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 6A 3A 4F ]
下午 03:44:50-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 8C BB C5 ]
下午 03:44:50-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5D 7D C9 ]
下午 03:44:50-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:50-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A1 7B D8 ]
下午 03:44:50-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:50-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 8A 3B C7 ]
下午 03:44:50-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:50-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 95 7A 0F ]
下午 03:44:50-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 64 BB 8B ]
下午 03:44:50-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 91 7B CC ]
下午 03:44:50-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5D 7D C9 ]
下午 03:44:50-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 73 FB 85 ]
下午 03:44:50-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A0 BA 18 ]
下午 03:44:50-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:50-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 8A 3B C7 ]
下午 03:44:50-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:50-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 95 7A 0F ]
下午 03:44:50-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 64 BB 8B ]
下午 03:44:50-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 91 7B CC ]
下午 03:44:50-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5D 7D C9 ]
下午 03:44:51-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 73 FB 85 ]
下午 03:44:51-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A0 BA 18 ]
下午 03:44:51-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:51-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 5F FA 58 ]
下午 03:44:51-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 95 7A 0F ]
下午 03:44:51-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 64 BB 8B ]
下午 03:44:51-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 91 7B CC ]
下午 03:44:51-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:51-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 73 FB 85 ]
下午 03:44:51-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A0 BA 18 ]
下午 03:44:51-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:51-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 5F FA 58 ]
下午 03:44:51-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 65 7A 4B ]
下午 03:44:51-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:51-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:51-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A0 BA 18 ]
下午 03:44:51-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 61 7B 88 ]
下午 03:44:51-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 5F FA 58 ]
下午 03:44:51-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 65 7A 4B ]
下午 03:44:51-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:51-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:51-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:51-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A4 BB DB ]
下午 03:44:52-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 68 BB 8E ]
下午 03:44:52-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 94 BB CF ]
下午 03:44:52-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 66 3A 4A ]
下午 03:44:52-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:52-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 65 7A 4B ]
下午 03:44:52-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 93 FA 0D ]
下午 03:44:52-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:52-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 6B FB 8F ]
下午 03:44:52-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A4 BB DB ]
下午 03:44:52-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 68 BB 8E ]
下午 03:44:52-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 94 BB CF ]
下午 03:44:52-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 66 3A 4A ]
下午 03:44:52-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 96 3A 0E ]
下午 03:44:52-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 60 BA 48 ]
下午 03:44:52-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 91 7B CC ]
下午 03:44:52-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:52-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 79 7B 82 ]
下午 03:44:52-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A4 BB DB ]
下午 03:44:52-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 68 BB 8E ]
下午 03:44:52-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 94 BB CF ]
下午 03:44:52-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 66 3A 4A ]
下午 03:44:52-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 05 96 3A 0E ]
下午 03:44:52-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 05 60 BA 48 ]
下午 03:44:52-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 05 91 7B CC ]
下午 03:44:52-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 0C 5C BC 09 ]
下午 03:44:53-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 05 79 7B 82 ]
下午 03:44:53-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 05 A8 BB DE ]
下午 03:44:53-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 05 66 3A 4A ]
下午 03:44:53-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 05 96 3A 0E ]
下午 03:44:53-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 05 6A 3A 4F ]
