下午 05:21:27-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 05:21:27-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []wT = 313
下午 05:21:34-> Modbus OK_CH0_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 80 FF 5D], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:34-> Modbus OK_CH1_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 81 3E 9D], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:34-> Modbus OK_CH2_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 82 7E 9C], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH3_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 83 BF 5C], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH4_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 84 FE 9E], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH5_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 85 3F 5E], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH6_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 86 7F 5F], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH7_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 87 BE 9F], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH8_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 88 FE 9B], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH9_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 89 3F 5B], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH10_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8A 7F 5A], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH11_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8B BE 9A], Rec [01 46 2B 00 03 3C 81 ]
下午 05:21:35-> Modbus OK_CH12_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8C FF 58], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH13_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8D 3E 98], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH14_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8E 7E 99], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CH15_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 8F BF 59], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_CJC_ENABLE_STATUS, Ret [0], , CmdType [10], Cmd [01 46 2D 00 FD 5D], Rec [01 46 2D 01 3C 9D ]
下午 05:21:35-> Modbus OK_MODULE_CJC_OFFSET, Ret [0], , CmdType [10], Cmd [01 46 2B 00 FE FD], Rec [01 46 2B 00 00 7C 80 ]
下午 05:21:35-> Modbus OK_MODULE_ADDRESS, Ret [0], , CmdType [100], Cmd [01 03 01 E4 00 01 C5 C1], Rec [01 03 02 00 01 79 84 ]
下午 05:21:35-> Modbus OK_MODBUS_MISC, Ret [0], , CmdType [10], Cmd [01 46 29 D3 BE], Rec [01 46 29 00 FF 9D ]
下午 05:21:35-> Modbus OK_MODBUS_DATAFORMAT, Ret [0], , CmdType [10], Cmd [01 01 01 0C 00 01 3C 35], Rec [01 01 01 01 90 48 ]
下午 05:21:35-> Modbus OK_MODULE_TYPECODE, Ret [0], , CmdType [10], Cmd [01 46 07 00 00 BD 49], Rec [01 46 07 0F A2 39 ]
下午 05:21:35-> Modbus OK_RESPONSE_DELAY_TIME, Ret [0], , CmdType [10], Cmd [01 46 35 D2 77], Rec [01 46 35 00 F7 5D ]
下午 05:21:36-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C2 38 A1 ]
下午 05:21:36-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:36-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 31 7F 24 ]
下午 05:21:36-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C2 38 A1 ]
下午 05:21:37-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:37-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 2B FE EF ]
下午 05:21:38-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C1 78 A0 ]
下午 05:21:38-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 2B FE EF ]
下午 05:21:38-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:38-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C1 78 A0 ]
下午 05:21:39-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 31 7F 24 ]
下午 05:21:39-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:39-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C2 38 A1 ]
下午 05:21:40-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 31 7F 24 ]
下午 05:21:40-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:40-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C2 38 A1 ]
下午 05:21:41-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 31 7F 24 ]
下午 05:21:41-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH1_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 01 00 01 60 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH2_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 02 00 01 90 0A], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH3_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 03 00 01 C1 CA], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH4_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 04 00 01 70 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH5_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 05 00 01 21 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH6_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 06 00 01 D1 CB], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH7_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 07 00 01 80 0B], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH8_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 08 00 01 B0 08], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH9_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 09 00 01 E1 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH10_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0A 00 01 11 C8], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH11_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0B 00 01 40 08], Rec [01 04 02 00 C2 38 A1 ]
下午 05:21:41-> Modbus OK_CH12_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0C 00 01 F1 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH13_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0D 00 01 A0 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:41-> Modbus OK_CH14_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0E 00 01 50 09], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:42-> Modbus OK_CH15_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 0F 00 01 01 C9], Rec [01 04 02 7F FF D9 40 ]
下午 05:21:42-> Modbus OK_CJC_TEMPERATURE, Ret [0], , CmdType [-1], Cmd [01 04 00 80 00 01 30 22], Rec [01 04 02 08 31 7F 24 ]
下午 05:21:42-> Modbus OK_CH0_AI, Ret [0], , CmdType [-1], Cmd [01 04 00 00 00 01 31 CA], Rec [01 04 02 7F FF D9 40 ]
